,listing_id,available,price,adjusted_price,minimum_nights,maximum_nights,name,latitude,longitude,property_type,room_type,accomodates,bathrooms_text,bedrooms,beds,amenities,host_id,host_name,host_since,host_location,total_reviews,days_since_review,no_of_amenities,Elements,no_of_bath,bath_type,word_in_row,bath_type1,host_for,host_country
10,4332020,0.0,50.0,50.0,1.0,14.0,Marleen's cosy first floor flat,51.20096,4.40172,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Refrigerator"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Host greets you"", ""Stove"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Extra pillows and blankets"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Fire extinguisher"", ""Dishwasher"", ""Hangers"", ""Cable TV"", ""TV with standard cable""]",1754396,Marleen,2012-02-15,"Lier, Vlaanderen, Belgium",11.0,1708.0,430,430,1,Private,False,False,3728,Belgium
11,363155,1.0,68.0,68.0,6.0,365.0,1-bedroom apartment with court yard,51.22119,4.41951,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Backyard"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Essentials"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher"", ""Dryer"", ""Patio or balcony"", ""Hangers"", ""Cable TV"", ""TV with standard cable""]",1835458,Roos,2012-03-01,"Antwerp, Vlaams Gewest, Belgium",22.0,2005.409090909091,372,372,1.5,Shared,True,True,3713,Belgium
12,366252,1.0,35.0,35.0,1.0,365.0,ROOM IN FAMILY HOME near C. Station,51.21601,4.43432,Private room in rental unit,Private room,2,Shared half-bath,1.0,1.0,"[""Elevator"", ""Fire extinguisher"", ""Long term stays allowed"", ""Building staff"", ""Kitchen"", ""Dryer"", ""Shampoo"", ""Washer"", ""Smoke alarm"", ""Hangers"", ""Lock on bedroom door"", ""Iron"", ""Dedicated workspace"", ""Wifi"", ""TV"", ""Heating"", ""Paid parking off premises""]",1820186,Fronk & Lieve,2012-02-27,"Antwerpen, Vlaams Gewest, Belgium",108.0,2729.175925925926,254,254,0.5,Shared,True,True,3716,Belgium
13,522693,1.0,195.0,195.0,2.0,21.0,Ahome Awayfromhome,51.22001,4.39813,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,"[""High chair"", ""Fire extinguisher"", ""Kitchen"", ""Dryer"", ""Shampoo"", ""Washer"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""First aid kit"", ""Crib"", ""Hangers"", ""Cable TV"", ""Iron"", ""Dedicated workspace"", ""Wifi"", ""TV with standard cable"", ""Heating"", ""Essentials""]",2562294,Ahome,2012-06-06,"Antwerpen, Flemish Region, Belgium",2.0,2005.5,273,273,1,Private,False,False,3616,Belgium
14,636664,1.0,100.0,100.0,2.0,365.0,"sunny rooftop apartment, sleeps 2-5",51.21618,4.43037,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,"[""Refrigerator"", ""Elevator"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Outdoor furniture"", ""Host greets you"", ""Stove"", ""Oven"", ""Cooking basics"", ""Dishes and silverware"", ""Security cameras on property"", ""Children\u2019s books and toys"", ""Washer"", ""Pack \u2019n play/Travel crib"", ""Fast wifi \u2013 273 Mbps"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Long term stays allowed"", ""Outdoor dining area"", ""Bathtub"", ""Extra pillows and blankets"", ""Crib"", ""Baby bath"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Private patio or balcony"", ""High chair"", ""Fire extinguisher"", ""Coffee maker"", ""Hangers"", ""Cable TV"", ""TV with standard cable""]",462975,Els,2011-03-25,"Edegem, Flanders, Belgium",91.0,1972.956043956044,739,739,1,Private,False,False,4055,Belgium
15,639013,0.0,85.0,85.0,2.0,4.0,The chill place in Antwerp 1,51.21748,4.4456,Private room in townhouse,Private room,2,1.5 shared baths,1.0,1.0,"[""Refrigerator"", ""Fire extinguisher"", ""Backyard"", ""Dishwasher"", ""Smoke alarm"", ""Shampoo"", ""Coffee maker"", ""Stove"", ""Paid parking on premises"", ""Hangers"", ""Lock on bedroom door"", ""Oven"", ""Iron"", ""Cooking basics"", ""Wifi"", ""Microwave"", ""Heating"", ""Dishes and silverware"", ""Essentials""]",3189018,Cathy,2012-08-07,"Antwerpen, Vlaams Gewest, Belgium",34.0,2535.9117647058824,282,282,1.5,Shared,True,True,3554,Belgium
16,961296,0.0,286.6666666666667,286.6666666666667,1.6666666666666667,30.0,Great Classic House in Antwerp (4-10 persons),51.21531,4.44498,Entire residential home,Entire home/apt,10,2 baths,5.0,5.0,"[""Refrigerator"", ""Backyard"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Host greets you"", ""Stove"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Washer"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Microwave"", ""Essentials"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Heating"", ""Hot water"", ""Fire extinguisher"", ""Dishwasher"", ""Dryer"", ""Coffee maker"", ""Hangers"", ""Cable TV"", ""TV with standard cable""]",3189018,Cathy,2012-08-07,"Antwerpen, Vlaams Gewest, Belgium",48.0,1544.1458333333333,428,428,2,Private,False,False,3554,Belgium
17,2347414,0.0,85.0,85.0,2.0,4.0,The chill place in Antwerp 2,51.21711,4.44417,Private room in bed and breakfast,Private room,2,1 shared bath,1.0,1.0,"[""Fire extinguisher"", ""Dishwasher"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Host greets you"", ""Stove"", ""Hangers"", ""Lock on bedroom door"", ""Oven"", ""Iron"", ""Breakfast"", ""Wifi"", ""Heating"", ""Essentials""]",3189018,Cathy,2012-08-07,"Antwerpen, Vlaams Gewest, Belgium",1.0,1833.0,200,200,1,Shared,True,True,3554,Belgium
18,772842,0.0,88.33333333333333,88.33333333333333,1.6666666666666667,1125.0,Stay in a designers place & donate,51.21775,4.38434,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,"[""Refrigerator"", ""Paid street parking off premises"", ""Kitchen"", ""Hair dryer"", ""Host greets you"", ""Oven"", ""Cooking basics"", ""Wifi"", ""Dishes and silverware"", ""Toaster"", ""Washer"", ""Free street parking"", ""Laundromat nearby"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Stainless steel gas stove"", ""Long term stays allowed"", ""Waterfront"", ""Dining table"", ""Bathtub"", ""Wine glasses"", ""Free parking on premises"", ""TV"", ""Drying rack for clothing"", ""Heating"", ""Hot water"", ""Private patio or balcony"", ""Dishwasher"", ""Coffee maker"", ""Hangers"", ""Cleaning products""]",4050173,Daisy,2012-11-03,"Antwerpen, Vlaams Gewest, Belgium",68.0,2739.1323529411766,581,581,1,Private,False,False,3466,Belgium
19,778043,1.0,76.66666666666667,76.66666666666667,2.0,31.0,cosy & beautiful apartment Antwerp,51.20399,4.41249,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Refrigerator"", ""Elevator"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Host greets you"", ""Stove"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Baking sheet"", ""Nespresso machine"", ""Toaster"", ""Laundromat nearby"", ""Bed linens"", ""Body soap"", ""Iron"", ""Microwave"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Dining table"", ""Room-darkening shades"", ""Extra pillows and blankets"", ""Wine glasses"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Private entrance"", ""Dishwasher"", ""Ethernet connection"", ""Coffee maker"", ""Hangers"", ""Cleaning products""]",1735092,Marc & Elizabeth,2012-02-11,"Antwerp, Vlaams Gewest, Belgium",74.0,1898.945945945946,621,621,1,Private,False,False,3732,Belgium
